ranking,npsn,nama_sekolah,provinsi,kab_kota,jenis,akreditasi,indeks_sekolah,kuota_eligible
577,10307525,SMAN 3 BUKITTINGGI,SUMATERA BARAT,KOTA BUKITTINGGI,SMA,C,91.35,0.05
578,20100210,SMAN 5 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA,C,91.34,0.05
579,20402116,SMAN 1 SEMIN,DI YOGYAKARTA,KAB. GUNUNG KIDUL,SMA,C,91.32,0.05
580,69982590,SMA AL WILDAN ISLAMIC SCHOOL,BANTEN,KAB. TANGERANG,SMA,C,91.31,0.05
581,20328911,SMA NEGERI 12,JAWA TENGAH,KOTA SEMARANG,SMA,C,91.29,0.05
582,20327979,SMAS MTA SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA,C,91.28,0.05
583,20327608,SMKN 1 MAGELANG,JAWA TENGAH,KOTA MAGELANG,SMK,C,91.26,0.05
584,10609706,SMA XAVERIUS 03 PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA,C,91.25,0.05
585,20533610,SMAS LABORATORIUM UM,JAWA TIMUR,KOTA MALANG,SMA,C,91.23,0.05
586,20177948,MAS PEMBANGUNAN UIN,DKI JAKARTA,KOTA JAKARTA SELATAN,MA,C,91.22,0.05
587,20229166,SMAN 4 KOTA DEPOK,JAWA BARAT,KOTA DEPOK,SMA,C,91.2,0.05
588,20317483,SMAN 1 BAE KUDUS,JAWA TENGAH,KAB. KUDUS,SMA,C,91.19,0.05
589,20237987,SMAN 1 CIKARANG PUSAT,JAWA BARAT,KAB. BEKASI,SMA,C,91.17,0.05
590,20314884,SMAN 1 CEPU,JAWA TENGAH,KAB. BLORA,SMA,C,91.16,0.05
591,20510147,SMAN 2 PONOROGO,JAWA TIMUR,KAB. PONOROGO,SMA,C,91.14,0.05
592,20509318,SMAN 1 MAGETAN,JAWA TIMUR,KAB. MAGETAN,SMA,C,91.13,0.05
593,10303905,SMAN 2 PAYAKUMBUH,SUMATERA BARAT,KOTA PAYAKUMBUH,SMA,C,91.11,0.05
594,20328866,SMA NEGERI 08,JAWA TENGAH,KOTA SEMARANG,SMA,C,91.1,0.05
595,69980514,MAN INSAN CENDEKIA KOTA PALU,SULAWESI TENGAH,KOTA PALU,MA,C,91.08,0.05
596,20219316,SMAN 7 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,91.07,0.05
597,20219782,SMA PGII 1,JAWA BARAT,KOTA BANDUNG,SMA,C,91.05,0.05
598,20223045,SMAN 4 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,91.04,0.05
599,20503415,SMA NEGERI 1 JOMBANG,JAWA TIMUR,KAB. JOMBANG,SMA,C,91.02,0.05
600,20327566,SMAN 5 MAGELANG,JAWA TENGAH,KOTA MAGELANG,SMA,C,91.01,0.05
601,20327967,SMAN 2 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA,C,90.99,0.05
602,20329508,SMA Negeri 3 Pekalongan,JAWA TENGAH,KOTA PEKALONGAN,SMA,C,90.98,0.05
603,20220337,SMAN 8 BOGOR,JAWA BARAT,KOTA BOGOR,SMA,C,90.96,0.05
604,20363001,MAS WATHONIYAH ISLAMIYAH KARANGDUWUR,JAWA TENGAH,KAB. KEBUMEN,MA,C,90.95,0.05
605,20328899,SMA NEGERI 14,JAWA TENGAH,KOTA SEMARANG,SMA,C,90.93,0.05
606,20312173,SMAN KARANGPANDAN,JAWA TENGAH,KAB. KARANGANYAR,SMA,C,90.92,0.05
607,20402796,SMA NEGERI 1 SENTOLO,DI YOGYAKARTA,KAB. KULON PROGO,SMA,C,90.9,0.05
608,20103258,SMAN 93 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,C,90.89,0.05
609,20206209,SMAN 1 MARGAHAYU,JAWA BARAT,KAB. BANDUNG,SMA,C,90.87,0.05
610,20534387,SMAN 3 KEDIRI,JAWA TIMUR,KOTA KEDIRI,SMA,C,90.86,0.05
611,20229186,SMAS YASPEN TUGU IBU,JAWA BARAT,KOTA DEPOK,SMA,C,90.84,0.05
612,20305013,SMAN 1 KUTOWINANGUN,JAWA TENGAH,KAB. KEBUMEN,SMA,C,90.83,0.05
613,20329844,SMAN 4 TEGAL,JAWA TENGAH,KOTA TEGAL,SMA,C,90.81,0.05
614,20302104,SMKN 1 BANYUMAS,JAWA TENGAH,KAB. BANYUMAS,SMK,C,90.8,0.05
615,20533638,SMAS KATOLIK COR YESU,JAWA TIMUR,KOTA MALANG,SMA,C,90.78,0.05
616,10210857,SMAN 4 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA,C,90.77,0.05
617,20580048,MAN 2 KOTA MADIUN,JAWA TIMUR,KOTA MADIUN,MA,C,90.75,0.05
618,20318337,SMA NEGERI 1 WELAHAN,JAWA TENGAH,KAB. JEPARA,SMA,C,90.74,0.05
619,20339022,SMA NEGERI 1 TAYU,JAWA TENGAH,KAB. PATI,SMA,C,90.72,0.05
620,20103784,SMKN 48 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMK,C,90.71,0.05
621,20606829,SMAN 7 TANGERANG,BANTEN,KOTA TANGERANG,SMA,C,90.69,0.05
622,20501862,SMAN 1 GEDANGAN,JAWA TIMUR,KAB. SIDOARJO,SMA,C,90.68,0.05
623,20363282,MAN 2 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,MA,C,90.66,0.05
624,30304260,SMAN 7 BANJARMASIN,KALIMANTAN SELATAN,KOTA BANJARMASIN,SMA,C,90.65,0.05
625,20100223,SMAN 27 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA,C,90.63,0.05
626,20300732,SMA NEGERI 1 MAJENANG,JAWA TENGAH,KAB. CILACAP,SMA,C,90.62,0.05
627,20340792,SMKN 1 KARANGANYAR,JAWA TENGAH,KAB. KARANGANYAR,SMK,C,90.6,0.05
628,20321428,SMA NEGERI 1 PARAKAN,JAWA TENGAH,KAB. TEMANGGUNG,SMA,C,90.59,0.05
629,20319300,SMAN 2 MRANGGEN,JAWA TENGAH,KAB. DEMAK,SMA,C,90.57,0.05
630,20584466,MAN 2 PONOROGO,JAWA TIMUR,KAB. PONOROGO,MA,C,90.56,0.05
631,20100796,SMAN 72 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA,C,90.54,0.05
632,20223032,SMAN 11 BEKASI,JAWA BARAT,KOTA BEKASI,SMA,C,90.53,0.05
633,20206151,SMAN 1 BALEENDAH,JAWA BARAT,KAB. BANDUNG,SMA,C,90.51,0.05
634,69947314,SMA ISLAM TERPADU BAITUSSALAM,DI YOGYAKARTA,KAB. SLEMAN,SMA,C,90.5,0.05
635,20362426,SMAS ISLAM AL-AZHAR SOLO BARU,JAWA TENGAH,KAB. SUKOHARJO,SMA,C,90.48,0.05
636,20330459,SMKN 1 PURWOKERTO,JAWA TENGAH,KAB. BANYUMAS,SMK,C,90.47,0.05
637,30304597,SMAN 1 BANJARBARU,KALIMANTAN SELATAN,KOTA BANJARBARU,SMA,C,90.45,0.05
638,69946189,SMA MUHAMMADIYAH 10 GKB GRESIK,JAWA TIMUR,KAB. GRESIK,SMA,C,90.44,0.05
639,20203739,SMAN 1 CIANJUR,JAWA BARAT,KAB. CIANJUR,SMA,C,90.42,0.05
640,20300731,SMA NEGERI 1 MAOS,JAWA TENGAH,KAB. CILACAP,SMA,C,90.41,0.05
641,10302476,SMAN 1 BATU SANGKAR,SUMATERA BARAT,KAB. TANAH DATAR,SMA,C,90.39,0.05
642,20320386,SMA NEGERI 1 BERGAS,JAWA TENGAH,KAB. SEMARANG,SMA,C,90.38,0.05
643,20308442,SMAN 1 SIMO,JAWA TENGAH,KAB. BOYOLALI,SMA,C,90.36,0.05
644,20328878,SMA NEGERI 10,JAWA TENGAH,KOTA SEMARANG,SMA,C,90.35,0.05
645,69857938,SMAN 12 KOTA DEPOK,JAWA BARAT,KOTA DEPOK,SMA,C,90.33,0.05
646,10263738,MAN 1 KOTA BUKITTINGGI,SUMATERA BARAT,KOTA BUKITTINGGI,MA,C,90.32,0.05
647,69886285,SMA ISLAM AL-FAJAR,JAWA BARAT,KOTA BEKASI,SMA,C,90.3,0.05
648,20220341,SMAN 10 BOGOR,JAWA BARAT,KOTA BOGOR,SMA,C,90.29,0.05
649,20219306,SMAN 6 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,90.27,0.05
650,20532167,SMAS LUQMAN AL HAKIM,JAWA TIMUR,KOTA SURABAYA,SMA,C,90.26,0.05
651,20101627,SMAN 101 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA,C,90.24,0.05
652,20103311,SMAN 53 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,C,90.23,0.05
653,20229168,SMAN 6 KOTA DEPOK,JAWA BARAT,KOTA DEPOK,SMA,C,90.21,0.05
654,30201459,SMAN 1 SAMPIT,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,SMA,C,90.2,0.05
655,10307309,SMAN 1 PARIAMAN,SUMATERA BARAT,KOTA PARIAMAN,SMA,C,90.18,0.05
656,20321907,SMAN 1 KENDAL,JAWA TENGAH,KAB. KENDAL,SMA,C,90.17,0.05
657,20534408,SMKN 2 KEDIRI,JAWA TIMUR,KOTA KEDIRI,SMK,C,90.15,0.05
658,10807063,SMAN 2 BANDAR LAMPUNG,LAMPUNG,KOTA BANDAR LAMPUNG,SMA,C,90.14,0.05
659,20229167,SMAN 5 KOTA DEPOK,JAWA BARAT,KOTA DEPOK,SMA,C,90.12,0.05
660,20107305,SMA ISLAM AL-AZHAR 2 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,C,90.11,0.05
661,50100337,SMAN 1 SINGARAJA,BALI,KAB. BULELENG,SMA,C,90.09,0.05
662,20219776,SMAS PLUS AL GHIFARI BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,C,90.08,0.05
663,20533613,SMAS PANJURA,JAWA TIMUR,KOTA MALANG,SMA,C,90.06,0.05
664,20534749,SMAN 2,JAWA TIMUR,KOTA MOJOKERTO,SMA,C,90.05,0.05
665,20519298,SMAN 1 PURWOSARI,JAWA TIMUR,KAB. PASURUAN,SMA,C,90.03,0.05
666,10807561,SMAN 1 METRO,LAMPUNG,KOTA METRO,SMA,C,90.02,0.05
667,20224114,SMA NEGERI 3 CIMAHI,JAWA BARAT,KOTA CIMAHI,SMA,C,90.0,0.05
668,20603267,SMAN 7 KOTA TANGERANG SELATAN,BANTEN,KOTA TANGERANG SELATAN,SMA,C,89.98,0.05
