Ranking,NPSN,Sekolah,Provinsi,Kab Kota,Jenis
286,10307799,SMAN 3 BATU SANGKAR,SUMATERA BARAT,KAB. TANAH DATAR,SMA
287,69976449,MAN INSAN CENDEKIA SAMBAS,KALIMANTAN BARAT,KAB. SAMBAS,MA
288,20314885,SMAN 1 BLORA,JAWA TENGAH,KAB. BLORA,SMA
289,20510150,SMAN 1 PONOROGO,JAWA TIMUR,KAB. PONOROGO,SMA
290,20102565,SMAN 86 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
291,20220332,SMAN 3 BOGOR,JAWA BARAT,KOTA BOGOR,SMA
292,10210873,SMAN 1 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA
293,20200681,SMAN 1 CILEUNGSI,JAWA BARAT,KAB. BOGOR,SMA
294,20229161,SMAS MARDI YUANA PANCORAN MAS,JAWA BARAT,KOTA DEPOK,SMA
295,20328913,SMA SEDES SAPIENTIAE,JAWA TENGAH,KOTA SEMARANG,SMA
296,20328449,SMAN 3 SALATIGA,JAWA TENGAH,KOTA SALATIGA,SMA
297,20223046,SMAN 3 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
298,20219254,SMAN 2 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
299,20400381,SMA NEGERI 2 BANTUL,DI YOGYAKARTA,KAB. BANTUL,SMA
300,20331978,SMAN 2 MAGELANG,JAWA TENGAH,KOTA MAGELANG,SMA
301,20219241,SMAN 12 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
302,30401809,SMAS YAYASAN PUPUK KALTIM BONTANG,KALIMANTAN TIMUR,KOTA BONTANG,SMA
303,20103286,SMAN 113 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
304,69774555,SMA ISLAM AL-AZHAR 8,JAWA BARAT,KOTA BEKASI,SMA
305,20103305,SMAN 64 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
306,20328867,SMA NEGERI 01,JAWA TENGAH,KOTA SEMARANG,SMA
307,20224139,SMA NEGERI 2 CIMAHI,JAWA BARAT,KOTA CIMAHI,SMA
308,20315697,SMA NEGERI 1 REMBANG,JAWA TENGAH,KAB. REMBANG,SMA
309,20220273,SMKN 1 BOGOR,JAWA BARAT,KOTA BOGOR,SMK
310,11002197,SMAN 3 BATAM,KEPULAUAN RIAU,KOTA BATAM,SMA
311,20330281,SMAN 1 GOMBONG,JAWA TENGAH,KAB. KEBUMEN,SMA
312,20401315,SMKN 2 DEPOK,DI YOGYAKARTA,KAB. SLEMAN,SMK
313,20325299,SMAN 1 SLAWI,JAWA TENGAH,KAB. TEGAL,SMA
314,20502727,SMAN 1 SOOKO,JAWA TIMUR,KAB. MOJOKERTO,SMA
315,40307369,SMAS KATOLIK RAJAWALI,SULAWESI SELATAN,KOTA MAKASSAR,SMA
316,20514344,SMAN 1 TALUN,JAWA TIMUR,KAB. BLITAR,SMA
317,20525854,SMAN 1 GENTENG,JAWA TIMUR,KAB. BANYUWANGI,SMA
318,20363283,MAS MUALLIMAAT MUHAMMADIYAH,DI YOGYAKARTA,KOTA YOGYAKARTA,MA
319,20623275,MAN 2 KOTA SERANG,BANTEN,KOTA SERANG,MA
320,20103308,SMAN 59 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
321,20101585,SMAN 94 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
322,20321425,SMK NEGERI 1 TEMANGGUNG,JAWA TENGAH,KAB. TEMANGGUNG,SMK
323,20101584,SMAN 95 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
324,20363211,MAS AL IRSYAD,JAWA TENGAH,KAB. SEMARANG,MA
325,20303987,SMAN 1 BANJARNEGARA,JAWA TENGAH,KAB. BANJARNEGARA,SMA
326,69946479,SMA EDU GLOBAL,JAWA BARAT,KOTA BANDUNG,SMA
327,20103297,SMAN 42 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
328,20505008,SMAN 2 TUBAN,JAWA TIMUR,KAB. TUBAN,SMA
329,69977033,SMA Islam Al Azhar 19,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
330,20103291,SMAN 104 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
331,20306176,SMAN 2 PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,SMA
332,20400374,SMA NEGERI 1 PUNDONG,DI YOGYAKARTA,KAB. BANTUL,SMA
333,20269747,SMA NURUL FIKRI BOARDING SCHOOL LEMBANG,JAWA BARAT,KAB. BANDUNG BARAT,SMA
334,20500479,SMAN 1 GRESIK,JAWA TIMUR,KAB. GRESIK,SMA
335,20532242,SMAN 1 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
336,10816430,MAN 2 PONTIANAK,KALIMANTAN BARAT,KOTA PONTIANAK,MA
337,20310425,SMAN 1 KARTASURA,JAWA TENGAH,KAB. SUKOHARJO,SMA
338,20103300,SMAN 88 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
339,20219309,SMAN 5 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
340,20500477,SMAN 1 MANYAR,JAWA TIMUR,KAB. GRESIK,SMA
341,20309680,SMAN 1 KARANGANOM,JAWA TENGAH,KAB. KLATEN,SMA
342,20212956,SMA NEGERI 2 KUNINGAN,JAWA BARAT,KAB. KUNINGAN,SMA
343,20100211,SMAN 4 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
344,20328448,SMAN 2 SALATIGA,JAWA TENGAH,KOTA SALATIGA,SMA
345,20307714,SMAN 1 KOTA MUNGKID,JAWA TENGAH,KAB. MAGELANG,SMA
346,10403792,SMAN PINTAR,RIAU,KAB. KUANTAN SINGINGI,SMA
347,20218351,SMAN 1 TAMBUN SELATAN,JAWA BARAT,KAB. BEKASI,SMA
348,20238516,SMAN 2 BOGOR,JAWA BARAT,KOTA BOGOR,SMA
349,20533667,SMAN 4,JAWA TIMUR,KOTA MALANG,SMA
350,20219271,SMAN 1 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
351,20532231,SMAN 20 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
352,69986335,SMA IT AT TAUFIQ,JAWA BARAT,KOTA BOGOR,SMA
353,20532246,SMAN 13 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
354,20533661,SMAN 10,JAWA TIMUR,KOTA MALANG,SMA
355,20223044,SMAN 5 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
356,20517786,SMAS AR ROHMAH DAU,JAWA TIMUR,KAB. MALANG,SMA
357,20328939,SMA NEGERI 09,JAWA TENGAH,KOTA SEMARANG,SMA
358,10400870,SMAS CENDANA MANDAU,RIAU,KAB. BENGKALIS,SMA
359,20354028,SMAN 1 SRAGEN,JAWA TENGAH,KAB. SRAGEN,SMA
360,30401487,SMAN 5 BALIKPAPAN SELATAN,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SMA
361,50103181,SMAS K SANTO YOSEPH DENPASAR,BALI,KOTA DENPASAR,SMA
362,20517733,SMAN 1 SINGOSARI,JAWA TIMUR,KAB. MALANG,SMA
363,20503413,SMA NEGERI 3 JOMBANG,JAWA TIMUR,KAB. JOMBANG,SMA
364,20311334,SMAN 1 WONOGIRI,JAWA TENGAH,KAB. WONOGIRI,SMA
365,20519299,SMAN 1 PANDAAN,JAWA TIMUR,KAB. PASURUAN,SMA
366,20100212,SMAN 35 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
367,30201848,SMAN 1 PANGKALAN BUN,KALIMANTAN TENGAH,KAB. KOTAWARINGIN BARAT,SMA
368,11000360,SMAN 1 BATAM,KEPULAUAN RIAU,KOTA BATAM,SMA
369,20501705,SMAN 1 TAMAN,JAWA TIMUR,KAB. SIDOARJO,SMA
370,20580089,MAN 1 KOTA MALANG,JAWA TIMUR,KOTA MALANG,MA
371,10210903,SMAS METHODIST 2 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA
372,20310421,SMAN 3 SUKOHARJO,JAWA TENGAH,KAB. SUKOHARJO,SMA
373,20253130,SMAS IT AL BINA,JAWA BARAT,KAB. BEKASI,SMA
374,69883506,SMA GARUDA CENDEKIA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
375,20219253,SMAN 20 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
376,20411891,MAN 3 SLEMAN,DI YOGYAKARTA,KAB. SLEMAN,MA
377,69897124,SMA ISLAM AL AZHAR 14,JAWA TENGAH,KOTA SEMARANG,SMA
378,69956310,MAN INSAN CENDEKIA ACEH TIMUR,ACEH,KAB. ACEH TIMUR,MA
379,20219312,SMAN 4 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
380,20533639,SMAN 7,JAWA TIMUR,KOTA MALANG,SMA
381,20320387,SMA NEGERI 1 AMBARAWA,JAWA TENGAH,KAB. SEMARANG,SMA
382,69829549,SMA SYUBBANUL WATHON,JAWA TENGAH,KAB. MAGELANG,SMA
383,20328879,SMA NEGERI 11,JAWA TENGAH,KOTA SEMARANG,SMA
384,20238517,SMAN 5 BOGOR,JAWA BARAT,KOTA BOGOR,SMA
385,20403227,SMAS BOPKRI 1,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
386,20532217,SMAN 17 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
387,20514347,SMAN 1 SRENGAT,JAWA TIMUR,KAB. BLITAR,SMA
388,60724851,SMAS MUHAMMADIYAH BOARDING SCHOOL (MBS) SLEMAN,DI YOGYAKARTA,KAB. SLEMAN,SMA
389,50103124,SMAN 4 DENPASAR,BALI,KOTA DENPASAR,SMA
390,30401067,SMA Negeri 10 Samarinda,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA
391,69859740,SMA ISLAM SABILILLAH,JAWA TIMUR,KOTA MALANG,SMA
392,20328898,SMA NEGERI 15,JAWA TENGAH,KOTA SEMARANG,SMA
393,69762788,SMAN 3 TARUTUNG,SUMATERA UTARA,KAB. TAPANULI UTARA,SMA
394,20220322,SMAS BINA INSANI,JAWA BARAT,KOTA BOGOR,SMA
395,20400380,SMA NEGERI 2 BANGUNTAPAN,DI YOGYAKARTA,KAB. BANTUL,SMA
396,20404171,SMAS IT ABU BAKAR,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
397,20532247,SMAN 4 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
398,20102564,SMAN 87 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
399,20257102,SMAS IT THORIQ BIN ZIYAD,JAWA BARAT,KAB. BEKASI,SMA
400,20328891,SMA NEGERI 07,JAWA TENGAH,KOTA SEMARANG,SMA
401,20330331,SMKN 1 KARANGANYAR,JAWA TENGAH,KAB. KEBUMEN,SMK
402,10303500,SMAN 3 PADANG,SUMATERA BARAT,KOTA PADANG,SMA
403,20533653,SMAN 5,JAWA TIMUR,KOTA MALANG,SMA
404,20224113,SMA NEGERI 1 CIMAHI,JAWA BARAT,KOTA CIMAHI,SMA
405,10603853,SMA NEGERI 06 PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA
406,70006118,SMA STRADA BHAKTI WIYATA,JAWA BARAT,KOTA BEKASI,SMA
407,20507733,SMAN 1 MEJAYAN,JAWA TIMUR,KAB. MADIUN,SMA
408,20402788,SMK NEGERI 1 PENGASIH,DI YOGYAKARTA,KAB. KULON PROGO,SMK
409,50102079,SMAN 1 GIANYAR,BALI,KAB. GIANYAR,SMA
410,20402128,SMKN 1 WONOSARI,DI YOGYAKARTA,KAB. GUNUNG KIDUL,SMK
411,69967607,SMA AL-AZHAR SYIFA BUDI SOLO,JAWA TENGAH,KOTA SURAKARTA,SMA
412,20603368,SMAN 3 KOTA TANGERANG SELATAN,BANTEN,KOTA TANGERANG SELATAN,SMA
413,20401133,SMAN 2 SLEMAN,DI YOGYAKARTA,KAB. SLEMAN,SMA
414,20224124,SMA SANTA MARIA 3,JAWA BARAT,KOTA CIMAHI,SMA
415,69937250,SPM ULYA KULLIYATUL MU`ALLIMIN AL-ISLAMIYAH (KMI) PP MODERN GONTOR PONOROGO,JAWA TIMUR,KAB. PONOROGO,Paket C
416,20277093,MAN 1 KOTA BEKASI,JAWA BARAT,KOTA BEKASI,MA
417,20219243,SMAN 11 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
418,20177927,MAN 7 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,MA
419,40310832,SMA NEGERI 5 PAREPARE,SULAWESI SELATAN,KOTA PAREPARE,SMA
420,20219738,SMAS BPI 1 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
421,20103289,SMAN 106 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
422,20403157,SMAS MUHAMMADIYAH 1 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
423,20223818,SMAN 2 KOTA DEPOK,JAWA BARAT,KOTA DEPOK,SMA
424,50103127,SMAN 1 DENPASAR,BALI,KOTA DENPASAR,SMA
425,20501701,SMAN 3 SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,SMA
426,69960983,SMA ISLAM TERPADU AULIYA,BANTEN,KOTA TANGERANG SELATAN,SMA
427,20580291,MAN 1 JEMBER,JAWA TIMUR,KAB. JEMBER,MA
428,20102215,SMAN 32 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
429,20527233,SMAN 1 PAMEKASAN,JAWA TIMUR,KAB. PAMEKASAN,SMA
430,20308448,SMAN 3 BOYOLALI,JAWA TENGAH,KAB. BOYOLALI,SMA
431,20220330,SMAS YPHB,JAWA BARAT,KOTA BOGOR,SMA
432,60726806,SMAIT INSANTAMA PLUS,JAWA BARAT,KOTA BOGOR,SMA
433,20220325,SMAS BUDI MULIA,JAWA BARAT,KOTA BOGOR,SMA
434,10107194,SMAN 10 FAJAR HARAPAN BANDA ACEH,ACEH,KOTA BANDA ACEH,SMA
435,30105210,SMAN 1 PONTIANAK,KALIMANTAN BARAT,KOTA PONTIANAK,SMA
436,69823287,SMA AL-ABIDIN BILINGUAL BOARDING SCHOOL,JAWA TENGAH,KOTA SURAKARTA,SMA
437,20103313,SMAN 50 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
438,20363060,MAN 1 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,MA
439,10303499,SMAN 2 PADANG,SUMATERA BARAT,KOTA PADANG,SMA
440,20306811,SMK NEGERI 1 WONOSOBO,JAWA TENGAH,KAB. WONOSOBO,SMK
441,20103287,SMAN 11 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
442,20532263,SMAN 9 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
443,11002256,SMAN 1 BINTAN UTARA,KEPULAUAN RIAU,KAB. BINTAN,SMA
444,20517736,SMAN 1 TUMPANG,JAWA TIMUR,KAB. MALANG,SMA
445,20363284,MAS MUALLIMIN MUHAMMADIYAH,DI YOGYAKARTA,KOTA YOGYAKARTA,MA
446,20328920,SMA ISLAM HIDAYATULLAH,JAWA TENGAH,KOTA SEMARANG,SMA
447,20400371,SMA NEGERI 1 SEWON,DI YOGYAKARTA,KAB. BANTUL,SMA
448,20533641,SMAN 9 Malang,JAWA TIMUR,KOTA MALANG,SMA
449,69987117,MAN INSAN CENDEKIA TAPANULI SELATAN,SUMATERA UTARA,KAB. TAPANULI SELATAN,MA
450,20177928,MAN 13 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,MA
451,69862591,SMA N 2 SUMATERA BARAT,SUMATERA BARAT,KAB. SOLOK,SMA
452,69915799,SMAN 20 BATAM,KEPULAUAN RIAU,KOTA BATAM,SMA
453,20221587,SMAS PESANTREN TERPADU HAYATAN THAYYIBAH,JAWA BARAT,KOTA SUKABUMI,SMA
454,20402137,SMAN 2 WONOSARI,DI YOGYAKARTA,KAB. GUNUNG KIDUL,SMA
455,20523847,SMAN 2 JEMBER,JAWA TIMUR,KAB. JEMBER,SMA
456,20606814,SMAN 8 TANGERANG,BANTEN,KOTA TANGERANG,SMA
457,20329845,SMAN 3 TEGAL,JAWA TENGAH,KOTA TEGAL,SMA
458,20217786,SMAN 1 KARAWANG,JAWA BARAT,KAB. KARAWANG,SMA
459,20103282,SMAN 22 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
460,69950405,SMAS IT IMAM SYAFII,KEPULAUAN RIAU,KOTA BATAM,SMA
461,20101604,SMAN 57 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
462,20219250,SMAN 22 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
463,20321439,SMA NEGERI 2 TEMANGGUNG,JAWA TENGAH,KAB. TEMANGGUNG,SMA
464,20403146,SMAS STELLA DUCE 2,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
465,20219264,SMA SANTA MARIA 2,JAWA BARAT,KOTA BANDUNG,SMA
466,20231316,SMAS MARDI WALUYA,JAWA BARAT,KAB. BOGOR,SMA
467,20533664,SMAN 2,JAWA TIMUR,KOTA MALANG,SMA
468,20302171,SMA NEGERI 1 BANYUMAS,JAWA TENGAH,KAB. BANYUMAS,SMA
469,20307710,SMAN 1 SALAMAN,JAWA TENGAH,KAB. MAGELANG,SMA
470,20103294,SMAN 100 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
471,50204503,SMA NEGERI 1 MATARAM,NUSA TENGGARA BARAT,KOTA MATARAM,SMA
472,20501703,SMAN 1 WARU,JAWA TIMUR,KAB. SIDOARJO,SMA
473,69893966,SMA GLOBAL ISLAMIC SCHOOL 2,BANTEN,KOTA TANGERANG SELATAN,SMA
474,20409801,SMA BUDI MULIA DUA,DI YOGYAKARTA,KAB. SLEMAN,SMA
475,50102004,SMAN 1 UBUD,BALI,KAB. GIANYAR,SMA
476,10303467,SMAS DON BOSCO,SUMATERA BARAT,KOTA PADANG,SMA
477,20313048,SMAN 1 GEMOLONG,JAWA TENGAH,KAB. SRAGEN,SMA
478,20229160,SMAS AVICENA CINERE,JAWA BARAT,KOTA DEPOK,SMA
479,30400382,SMAN 1 BERAU,KALIMANTAN TIMUR,KAB. BERAU,SMA
480,20313028,SMAN 2 SRAGEN,JAWA TENGAH,KAB. SRAGEN,SMA
481,20511011,SMAN 1 PACITAN,JAWA TIMUR,KAB. PACITAN,SMA
482,20515450,SMAN 1 BOYOLANGU,JAWA TIMUR,KAB. TULUNGAGUNG,SMA
483,20515431,SMAN 1 KAUMAN,JAWA TIMUR,KAB. TULUNGAGUNG,SMA
484,20584790,MAN 2 TULUNGAGUNG,JAWA TIMUR,KAB. TULUNGAGUNG,MA
485,20580044,MAN 1 KOTA KEDIRI,JAWA TIMUR,KOTA KEDIRI,MA
486,69880982,SMA BINA INSAN MANDIRI,JAWA TIMUR,KAB. NGANJUK,SMA
487,10403985,SMA NEGERI 1 PEKANBARU,RIAU,KOTA PEKANBARU,SMA
488,20268809,SMAS IT NURURRAHMAN,JAWA BARAT,KOTA DEPOK,SMA
489,20361201,SMAS INSAN CENDIKIA AL-MUJTABA,JAWA TENGAH,KAB. SUKOHARJO,SMA
490,10310795,SMAN 3 PAINAN,SUMATERA BARAT,KAB. PESISIR SELATAN,SMA
491,30401490,SMAN 2 BALIKPAPAN UTARA,KALIMANTAN TIMUR,KOTA BALIKPAPAN,SMA
492,20603372,SMAS PRAMITA CURUG,BANTEN,KAB. TANGERANG,SMA
493,20219324,SMAN 9 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
494,30401786,SMAN 1 BONTANG,KALIMANTAN TIMUR,KOTA BONTANG,SMA
495,20219790,SMAS LABORATORIUM - PERCONTOHAN UPI,JAWA BARAT,KOTA BANDUNG,SMA
496,20532163,SMAS MUHAMMADIYAH 2,JAWA TIMUR,KOTA SURABAYA,SMA
497,20363090,MAS NU BANAT KUDUS,JAWA TENGAH,KAB. KUDUS,MA
498,20302169,SMAN 5 PURWOKERTO,JAWA TENGAH,KAB. BANYUMAS,SMA
499,20301902,SMKS TELEKOMUNIKASI SANDHY PUTRA PURWOKERTO,JAWA TENGAH,KAB. BANYUMAS,SMK
500,10702412,SMAN 5 BENGKULU,BENGKULU,KOTA BENGKULU,SMA
501,11000433,SMAN 1 TANJUNGPINANG,KEPULAUAN RIAU,KOTA TANJUNGPINANG,SMA
502,20200685,SMAN 1 CIAWI BOGOR,JAWA BARAT,KAB. BOGOR,SMA
503,20219248,SMAN 24 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
504,20507726,SMAN 1 GEGER,JAWA TIMUR,KAB. MADIUN,SMA
505,20102569,SMAN 74 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
506,11002199,SMAN 5 BATAM,KEPULAUAN RIAU,KOTA BATAM,SMA
507,69965701,SMAIT ABU BAKAR BOARDING SCHOOL KULON PROGO,DI YOGYAKARTA,KAB. KULON PROGO,SMA
508,20606502,SMAS ASY SYUKRIYAH,BANTEN,KOTA TANGERANG,SMA
509,20515429,SMAN 1 NGUNUT,JAWA TIMUR,KAB. TULUNGAGUNG,SMA
510,69977851,MA ISLAM TERPADU DARUL FIKRI,JAWA TIMUR,KAB. SIDOARJO,MA
511,70008990,SMA ISLAM AL AZHAR 22,JAWA BARAT,KAB. BEKASI,SMA
512,20224136,SMK NEGERI 1 CIMAHI,JAWA BARAT,KOTA CIMAHI,SMK
513,20200885,SMAN 1 CIBINONG,JAWA BARAT,KAB. BOGOR,SMA
514,20501700,SMAN 4 SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,SMA
515,20309684,SMAN 1 CAWAS,JAWA TENGAH,KAB. KLATEN,SMA
516,10210858,SMAN 5 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA
517,20219249,SMAN 23 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
518,20522640,SMAN 1 SITUBONDO,JAWA TIMUR,KAB. SITUBONDO,SMA
519,20300727,SMA NEGERI 3 CILACAP,JAWA TENGAH,KAB. CILACAP,SMA
520,20532244,SMAN 11 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
521,20219720,SMAS DARUL HIKAM BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
522,20517737,SMAN 1 TUREN,JAWA TIMUR,KAB. MALANG,SMA
523,20221561,SMAN 3 SUKABUMI,JAWA BARAT,KOTA SUKABUMI,SMA
524,20339023,SMA NEGERI 2 PATI,JAWA TENGAH,KAB. PATI,SMA
525,10601344,SMAN 4 LAHAT,SUMATERA SELATAN,KAB. LAHAT,SMA
526,20501784,SMAN 1 KRIAN,JAWA TIMUR,KAB. SIDOARJO,SMA
527,20404175,SMAS PANGUDI LUHUR,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
528,20280604,SMAS FUTURE GATE,JAWA BARAT,KOTA BEKASI,SMA
529,20102211,SMAN 43 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
530,20401125,SMAN 1 SEYEGAN,DI YOGYAKARTA,KAB. SLEMAN,SMA
531,20223033,SMAN 2 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
532,20103787,SMKN 26 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMK
533,20323399,SMA NEGERI 1 KEDUNGWUNI,JAWA TENGAH,KAB. PEKALONGAN,SMA
534,20222364,SMAN 1 CIREBON,JAWA BARAT,KOTA CIREBON,SMA
535,20532151,SMA KATOLIK ST LOUIS 2,JAWA TIMUR,KOTA SURABAYA,SMA
536,20317501,SMAN 2 KUDUS,JAWA TENGAH,KAB. KUDUS,SMA
537,20277119,MAN 2 KOTA BOGOR,JAWA BARAT,KOTA BOGOR,MA
538,20327971,SMAN 6 SURAKARTA,JAWA TENGAH,KOTA SURAKARTA,SMA
539,20402807,SMA NEGERI 1 KALIBAWANG,DI YOGYAKARTA,KAB. KULON PROGO,SMA
540,20309690,SMAN 3 KLATEN,JAWA TENGAH,KAB. KLATEN,SMA
541,20103279,SMAN 9 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
542,20400372,SMA NEGERI 1 SEDAYU,DI YOGYAKARTA,KAB. BANTUL,SMA
543,69757388,SMAS IT RAUDHATUL JANNAH,BANTEN,KOTA CILEGON,SMA
544,20534122,SMAN 3 TARUNA ANGKASA MADIUN,JAWA TIMUR,KOTA MADIUN,SMA
545,50102081,SMAN 1 SUKAWATI,BALI,KAB. GIANYAR,SMA
546,20532218,SMAN 18 SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
547,10206580,SMAN 1 MATAULI PANDAN,SUMATERA UTARA,KAB. TAPANULI TENGAH,SMA
548,20309681,SMAN 1 JOGONALAN,JAWA TENGAH,KAB. KLATEN,SMA
549,10211702,SMAN 4 PEMATANG SIANTAR,SUMATERA UTARA,KOTA PEMATANGSIANTAR,SMA
550,20101621,SMAN 23 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
551,20307677,SMAN 1 DUKUN,JAWA TENGAH,KAB. MAGELANG,SMA
552,69961248,SMA IT PUTRI AL HANIF,BANTEN,KOTA CILEGON,SMA
553,20324216,SMAN 1 PEMALANG,JAWA TENGAH,KAB. PEMALANG,SMA
554,20503408,SMA NEGERI MOJOAGUNG,JAWA TIMUR,KAB. JOMBANG,SMA
555,20508480,SMAN 1 NGAWI,JAWA TIMUR,KAB. NGAWI,SMA
556,10498808,MAN 1 PEKANBARU,RIAU,KOTA PEKANBARU,MA
557,50103117,SMKN 2 DENPASAR,BALI,KOTA DENPASAR,SMK
558,20606271,SMAN 2 KRAKATAU STEEL CILEGON,BANTEN,KOTA CILEGON,SMA
559,20606542,SMAS BUDI LUHUR,BANTEN,KOTA TANGERANG,SMA
560,20533803,SMKS TELKOM SANDHY PUTRA,JAWA TIMUR,KOTA MALANG,SMK
561,69992187,SMA AL WAFI IBS,JAWA BARAT,KAB. BOGOR,SMA
562,10210856,SMAN 3 MEDAN,SUMATERA UTARA,KOTA MEDAN,SMA
563,20605093,SMAN 1 KOTA SERANG,BANTEN,KOTA SERANG,SMA
564,20534120,SMAN 5 MADIUN,JAWA TIMUR,KOTA MADIUN,SMA
565,11003325,MAN BATAM,KEPULAUAN RIAU,KOTA BATAM,MA
566,20100803,SMAN 111 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA
567,20623317,MAN 1 KOTA TANGERANG SELATAN,BANTEN,KOTA TANGERANG SELATAN,MA
568,20223068,SMAS PANGUDI LUHUR II,JAWA BARAT,KOTA BEKASI,SMA
569,20318343,SMA NEGERI 1 JEPARA,JAWA TENGAH,KAB. JEPARA,SMA
570,60403474,SMAS AVEROS,PAPUA BARAT,KOTA SORONG,SMA
571,20504478,SMAN 2 BOJONEGORO,JAWA TIMUR,KAB. BOJONEGORO,SMA
572,20224511,SMA NEGERI 1 TASIKMALAYA,JAWA BARAT,KOTA TASIKMALAYA,SMA
573,20223067,SMAS ISLAM PANGLIMA BESAR SOEDIRMAN,JAWA BARAT,KOTA BEKASI,SMA
574,20538394,SMAN 1 KERTOSONO,JAWA TIMUR,KAB. NGANJUK,SMA
575,20540294,SMA DARUL ULUM 2 UNGGULAN BPPT,JAWA TIMUR,KAB. JOMBANG,SMA
576,69765014,SMAS ALBANNA,BALI,KOTA DENPASAR,SMA
577,10307525,SMAN 3 BUKITTINGGI,SUMATERA BARAT,KOTA BUKITTINGGI,SMA
578,20100210,SMAN 5 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
579,20402116,SMAN 1 SEMIN,DI YOGYAKARTA,KAB. GUNUNG KIDUL,SMA
