Ranking,NPSN,Sekolah,Provinsi,Kab Kota,Jenis
779,20328910,SMA NEGERI 13,JAWA TENGAH,KOTA SEMARANG,SMA
780,69972822,SMA IT ADZKIA,JAWA BARAT,KAB. SUKABUMI,SMA
781,30401058,SMA Negeri 3 Samarinda,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA
782,20102587,SMKN 20 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMK
783,69872144,SMAN 19 BATAM,KEPULAUAN RIAU,KOTA BATAM,SMA
784,20100779,SMAN 75 JAKARTA,DKI JAKARTA,KOTA JAKARTA UTARA,SMA
785,20504480,SMAN 4 BOJONEGORO,JAWA TIMUR,KAB. BOJONEGORO,SMA
786,10303610,SMAN 2 PADANG PANJANG,SUMATERA BARAT,KOTA PADANG PANJANG,SMA
787,20607924,SMAN 15 TANGERANG,BANTEN,KOTA TANGERANG,SMA
788,20177956,MAN 8 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,MA
789,20534383,SMAN 7 KEDIRI,JAWA TIMUR,KOTA KEDIRI,SMA
790,20318339,SMA NEGERI 1 PECANGAAN,JAWA TENGAH,KAB. JEPARA,SMA
791,20532118,SMAS TRI MURTI SURABAYA,JAWA TIMUR,KOTA SURABAYA,SMA
792,20538325,SMAN 1 TANJUNGANOM,JAWA TIMUR,KAB. NGANJUK,SMA
793,30403011,SMAS SF Assisi Samarinda,KALIMANTAN TIMUR,KOTA SAMARINDA,SMA
794,11000434,SMAN 2 TANJUNGPINANG,KEPULAUAN RIAU,KOTA TANJUNGPINANG,SMA
795,20606847,SMAN 3 TANGERANG,BANTEN,KOTA TANGERANG,SMA
796,20363180,MAN PURBALINGGA,JAWA TENGAH,KAB. PURBALINGGA,MA
797,20339024,SMA NEGERI 3 PATI,JAWA TENGAH,KAB. PATI,SMA
798,20219145,SMKN 3 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK
799,20506254,SMA NEGERI 2 LAMONGAN,JAWA TIMUR,KAB. LAMONGAN,SMA
800,20317493,SMAN 1 JEKULO KUDUS,JAWA TENGAH,KAB. KUDUS,SMA
801,20219239,SMAN 14 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
802,20253307,SMKN 3 KOTA BEKASI,JAWA BARAT,KOTA BEKASI,SMK
803,20224540,SMA AL MUTTAQIN,JAWA BARAT,KOTA TASIKMALAYA,SMA
804,69933838,SMA IT FITHRAH INSANI,JAWA BARAT,KAB. BANDUNG BARAT,SMA
805,20523845,SMAN 1 KENCONG,JAWA TIMUR,KAB. JEMBER,SMA
806,20311307,SMAN 1 BATURETNO,JAWA TENGAH,KAB. WONOGIRI,SMA
807,20613785,SMAN 23 KABUPATEN TANGERANG,BANTEN,KAB. TANGERANG,SMA
808,10404022,SMAS SANTA MARIA,RIAU,KOTA PEKANBARU,SMA
809,10219919,SMAS HARAPAN 3 DELI TUA,SUMATERA UTARA,KAB. DELI SERDANG,SMA
810,20103293,SMAN 102 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
811,20303240,SMKN 1 PURBALINGGA,JAWA TENGAH,KAB. PURBALINGGA,SMK
812,50103179,SMAS KRISTEN HARAPAN,BALI,KOTA DENPASAR,SMA
813,20529954,SMAN 1 SUMENEP,JAWA TIMUR,KAB. SUMENEP,SMA
814,30405623,SMAN 2 SANGATTA UTARA,KALIMANTAN TIMUR,KAB. KUTAI TIMUR,SMA
815,50203310,SMAN 1 SUMBAWA BESAR,NUSA TENGGARA BARAT,KAB. SUMBAWA,SMA
816,20511953,SMAN 1 PARE,JAWA TIMUR,KAB. KEDIRI,SMA
817,20402817,SMK N 2 PENGASIH,DI YOGYAKARTA,KAB. KULON PROGO,SMK
818,20402124,SMAN 1 KARANGMOJO,DI YOGYAKARTA,KAB. GUNUNG KIDUL,SMA
819,20324218,SMAN 1 COMAL,JAWA TENGAH,KAB. PEMALANG,SMA
820,20220335,SMAN 6 BOGOR,JAWA BARAT,KOTA BOGOR,SMA
821,20229175,SMAS SEJAHTERA 1 DEPOK,JAWA BARAT,KOTA DEPOK,SMA
822,20364979,MAS AL HIKMAH 2,JAWA TENGAH,KAB. BREBES,MA
823,30105075,SMAS GEMBALA BAIK PONTIANAK,KALIMANTAN BARAT,KOTA PONTIANAK,SMA
824,20107320,SMAN 79 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
825,20231719,SMAN 13 BEKASI,JAWA BARAT,KOTA BEKASI,SMA
826,10303504,SMAN 7 PADANG,SUMATERA BARAT,KOTA PADANG,SMA
827,10211680,SMAS KALAM KUDUS,SUMATERA UTARA,KOTA PEMATANGSIANTAR,SMA
828,50105492,SMAN BALI MANDARA,BALI,KAB. BULELENG,SMA
829,20206214,SMKN 1 KATAPANG,JAWA BARAT,KAB. BANDUNG,SMK
830,20321835,SMAN 1 SUKOREJO,JAWA TENGAH,KAB. KENDAL,SMA
831,20403280,SMKN 2 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMK
832,20222311,SMAN 6 CIREBON,JAWA BARAT,KOTA CIREBON,SMA
833,20551724,SMAN 1 SUTOJAYAN,JAWA TIMUR,KAB. BLITAR,SMA
834,69893110,SMA DAARUT TAUHIID BOARDING SCHOOL,JAWA BARAT,KAB. BANDUNG BARAT,SMA
835,20302168,SMAN 4 PURWOKERTO,JAWA TENGAH,KAB. BANYUMAS,SMA
